"chapter","file","description","lines","has_main"
"cap12","repositorio_competitive/cap12/09-shared-oaths.cpp","Shared Oaths","85","yes"
"cap12","repositorio_competitive/cap12/10-name-registry.cpp","Name Registry","23","yes"
"cap12","repositorio_competitive/cap12/11-prefix-observatory.cpp","Prefix Observatory","52","yes"
"cap12","repositorio_competitive/cap12/12-returning-names.cpp","Returning Names","67","yes"
"cap13","repositorio_competitive/cap13/01-vectors-cross.cpp","Vectors Cross","78","yes"
"cap13","repositorio_competitive/cap13/02-convex-hull.cpp","Convex Hull","98","yes"
"cap13","repositorio_competitive/cap13/03-closest-pair.cpp","Closest Pair","82","yes"
"cap13","repositorio_competitive/cap13/04-festival-shadows.cpp","Festival Shadows","80","yes"
"cap13","repositorio_competitive/cap13/05-overlapping-maps.cpp","Overlapping Maps","25","yes"
"cap13","repositorio_competitive/cap13/06-border-patrol.cpp","Border Patrol","72","yes"
"cap13","repositorio_competitive/cap13/07-secret-courtyards.cpp","Secret Courtyards","25","yes"
"cap13","repositorio_competitive/cap13/08-nearest-lanterns.cpp","Nearest Lanterns","83","yes"
"cap13","repositorio_competitive/cap13/09-surveyors-parchment.cpp","Surveyors Parchment","49","yes"
"cap13","repositorio_competitive/cap13/10-crossing-threads.cpp","Crossing Threads","105","yes"
"cap14","repositorio_competitive/cap14/01-tsp-bitmask.cpp","Tsp Bitmask","116","yes"
"cap14","repositorio_competitive/cap14/02-approximation.cpp","Approximation","151","yes"
"cap14","repositorio_competitive/cap14/03-independent-set.cpp","Independent Set","91","yes"
"cap14","repositorio_competitive/cap14/04-midnight-courier.cpp","Midnight Courier","45","yes"
"cap14","repositorio_competitive/cap14/05-gatekeepers-oath.cpp","Gatekeepers Oath","34","yes"
"cap14","repositorio_competitive/cap14/06-glass-map.cpp","Glass Map","58","yes"
"cap14","repositorio_competitive/cap14/07-expedition-crates.cpp","Expedition Crates","54","yes"
"cap14","repositorio_competitive/cap14/08-festival-partners.cpp","Festival Partners","41","yes"
"cap14","repositorio_competitive/cap14/09-silent-watch.cpp","Silent Watch","44","yes"
"cap14","repositorio_competitive/cap14/10-library-seals.cpp","Library Seals","36","yes"
"cap15","repositorio_competitive/cap15/01-ad-hoc.cpp","Ad Hoc","95","yes"
"cap15","repositorio_competitive/cap15/02-contest-strategy.cpp","Contest Strategy","84","yes"
"cap15","repositorio_competitive/cap15/03-foundry-molds.cpp","Foundry Molds","42","yes"
"cap15","repositorio_competitive/cap15/04-sunstone-power.cpp","Sunstone Power","28","yes"
"cap15","repositorio_competitive/cap15/05-banner-procession.cpp","Banner Procession","26","yes"
"cap15","repositorio_competitive/cap15/06-last-navigator.cpp","Last Navigator","16","yes"
"cap15","repositorio_competitive/cap15/07-lantern-inspections.cpp","Lantern Inspections","29","yes"
"cap15","repositorio_competitive/cap15/08-ring-of-tides.cpp","Ring Of Tides","31","yes"
"cap15","repositorio_competitive/cap15/09-clockwork-register.cpp","Clockwork Register","32","yes"
"cap16","repositorio_competitive/cap16/01-threads.cpp","Threads","77","yes"
"cap16","repositorio_competitive/cap16/02-mutex-sync.cpp","Mutex Sync","97","yes"
"cap16","repositorio_competitive/cap16/03-async-future.cpp","Async Future","77","yes"
"cap16","repositorio_competitive/cap16/04-parallel-algorithms.cpp","Parallel Algorithms","39","yes"
"cap16","repositorio_competitive/cap16/05-coroutines.cpp","Coroutines","84","yes"
"cap16","repositorio_competitive/cap16/06-parallel-prefix.cpp","Parallel Prefix","106","yes"
"cap16","repositorio_competitive/cap16/07-observatory-counter.cpp","Observatory Counter","28","yes"
"cap16","repositorio_competitive/cap16/08-treasury-ledger.cpp","Treasury Ledger","62","yes"
"cap16","repositorio_competitive/cap16/09-workshop-channel.cpp","Workshop Channel","66","yes"
"cap16","repositorio_competitive/cap16/10-archive-blocks.cpp","Archive Blocks","34","yes"
"cap16","repositorio_competitive/cap16/11-stained-glass.cpp","Stained Glass","30","yes"
"cap16","repositorio_competitive/cap16/12-clockwork-stream.cpp","Clockwork Stream","70","yes"
"cap16","repositorio_competitive/cap16/13-weather-census.cpp","Weather Census","54","yes"
"cap16","repositorio_competitive/cap16/14-false-sharing.cpp","False Sharing Benchmark","61","yes"
"cap18","repositorio_competitive/cap18/t01-s1-1-cistern-keeper.cpp","The Cistern Keeper","41","yes"
"cap18","repositorio_competitive/cap18/t01-s2-1-kilnmaster-bill.cpp","The Kilnmaster Bill","39","yes"
"cap18","repositorio_competitive/cap18/t01-s3-1-forge-trials.cpp","The Forge Trials","44","yes"
